Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate
04330016,CUPRO-SILK BOXY FIT POLO SHIRT - Navy blue | ZARA United States,GENERAL,Navy blue,119.0,,"
79",True,6550.0,69.96,,"
79",,True,49.04,21% silk (mulberry) | 96% cotton,Morocco,2026-03-22,93.62
04333019,STRIPED JACQUARD KIMONO SHIRT - Ecru | ZARA United States,GENERAL,Ecru,129.0,, 100,True,7550.0,80.65,, 100,,True,48.35,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-03-22,93.62
04387001,100% CUPRO KIMONO SHIRT - Ecru | ZARA United States,GENERAL,Ecru,119.0,,"
100",True,6550.0,69.96,,"
100",,True,49.04,,,2026-03-22,93.62
04336021,FLUID FLORAL PRINT SHIRT - Printed | ZARA United States,GENERAL,Printed,119.0,, 100,True,6550.0,69.96,, 100,,True,49.04,,Morocco,2026-03-22,93.62
04337035,100% RAMIE BOXY FIT POLO SHIRT - Printed | ZARA United States,GENERAL,Printed,129.0,,"
100",True,7550.0,80.65,,"
100",,True,48.35,,,2026-03-22,93.62
04338049,RELAXED FIT EMBROIDERED SHIRT - Ecru | ZARA United States,GENERAL,Ecru,119.0,,"
97",True,6550.0,69.96,,"
97",,True,49.04,97% cotton | 3% polyester | 100% cotton,,2026-03-22,93.62
04331012,RAMIE - LYOCELL RELAXED FIT POLO SHIRT - Brown | ZARA United States,GENERAL,Brown,119.0,, 55,True,6550.0,69.96,, 55,,True,49.04,,Morocco,2026-03-22,93.62
04335017,STRIPED VISCOSE-SILK WRAP SHIRT - Sand | ZARA United States,GENERAL,Sand,129.0,, 73,True,7550.0,80.65,, 73,,True,48.35,"Composition: 73% viscose, 27% silk (mulberry) | 27% silk (mulberry)",Morocco,2026-03-22,93.62
04334039,100% LINEN TEXTURED HANDKERCHIEF SHIRT - Dark eggplant | ZARA United States,GENERAL,Dark eggplant,129.0,,"
100",True,7550.0,80.65,, 100,,True,48.35,100% LINEN TEXTURED HANDKERCHIEF SHIRT | Composition: 100% linen | / 100% LINEN TEXTURED HANDKERCHIEF SHIRT | 100% linen,Morocco,2026-03-22,93.62
04187152,GEOMETRIC JACQUARD SHIRT - Navy blue | ZARA United States,GENERAL,Navy blue,59.9,, 72,True,2950.0,31.51,, 72,,True,28.39,"Composition: 72% cotton, 25% polyester, 3% other fibres | 72% cotton | 25% polyester | 25% RCS-certified recycled polyester | 72% RCS-certified recycled cotton",Morocco,2026-03-22,93.62
03277401,COMFORT TEXTURED SHIRT - Navy / White | ZARA United States,GENERAL,Navy / White,59.9,, 65,True,2950.0,31.51,, 65,,True,28.39,"Composition: 65% cotton, 35% polyester | 65% cotton | 35% polyester | 35% RCS-certified recycled polyester | 65% OCS certified organically grown cotton",Turkey,2026-03-22,93.62
01063411,REGULAR FIT LINEN-COTTON SHIRT - Blue / White | ZARA United States,GENERAL,Blue / White,59.9,, 59,True,2950.0,31.51,, 59,,True,28.39,"Composition: 59% linen, 41% cotton | 59% linen | 41% cotton | 59% certified European grown linen | 41% OCS certified organically grown cotton",Bangladesh,2026-03-22,93.62
06987435,WASHED STRIPED BOXY FIT POLO SHIRT - Light blue | ZARA United States,GENERAL,Light blue,59.9,, 100,True,2950.0,31.51,, 100,,True,28.39,Composition: 100% cotton | 100% cotton,Bangladesh,2026-03-22,93.62
04493144,REGULAR FIT SHIRT - Black | ZARA United States,GENERAL,Black,69.9,, 60,True,3950.0,42.19,, 60,,True,27.71,"Composition: 60% cotton, 40% polyester | 60% cotton | 40% polyester | 60% OCS certified organically grown cotton | 40% RCS-certified recycled polyester",Morocco,2026-03-22,93.62
